Section,Page,Issue Statement,Safety trait(s),Comments,Reason
Volume II 3.2 Transmission System,651,Tower ⅚ Insulator Hairline Crack - Aerial inspection of the tie line identified a crack on an insulator at Tower ⅚. Mr. Vo reviewed the basis for continued operability with the FFT and reported that both the ability to support the line and adequate insulating capability were being maintained until repairs could be completed.,Problem Identification and Resolution;,,
Volume II 3.2 Transmission System,651,"Mr. Vo reported that the entire 500kV Transmission System had been operating under new conditions of voltage and current flows over the last few years. Specifically, the system experienced low Volt-Amp Reactive (VAR) loads, abnormal power flows, and high voltages due primarily to the addition of large amounts of renewable generation resources to the system.","Problem Identification and Resolution;
Continuous Learning;",,
Volume II Section 3.5 Crane Program,656,"The only current significant issue was corrosion-related degradation of the Intake Structure crane, and additional maintenance work and controls upgrades were planned for that crane.",Problem Identification and Resolution;,,
Volume II Section 3.7 Licensed Operator Simulator Training Class Observation,664,"Some inconsistencies were observed in verbal communications, but this was not unexpected considering the fact that most of the crew were not regularly serving together as on-shift Operators. ",Effective Safety Communication;,,
"Volume II 3.8 Emergency, Diesel Generator System Follow-up Items",664,The first issue that the FFT inquired about was the status of the Cause Evaluation (CE) for a significant oil leak that occurred on EDG 2-3 during a maintenance run in June 2021. The EDG was shut down and the leak was successfully repaired.,Problem Identification and Resolution;,,
"Volume II 3.8 Emergency, Diesel Generator System Follow-up Items",666,"Mr. Wiggin then reported that following completion of the CE, additional investigations had been initiated primarily in response to a very high level of interest from NRC Resident and Regional Inspectors. Further investigations found some inconsistencies in the history of the types of material used in the banjo bolt gaskets.","Problem Identification and Resolution;
Work Processes;",,
"Volume II 3.8 Emergency, Diesel Generator System Follow-up Items",666,"The second issue that the FFT inquired about was the failure of EDG 2-3 to achieve the required frequency of electrical output during a surveillance test on July 22, 2021. This failure was determined to be one that would prevent the EDG from performing its safety function during an accident, and Licensee Event Report 2021-01 for Unit 2 was submitted to the NRC to report the occurrence of this event to the NRC. ",Problem Identification and Resolution;,,
"Volume II 3.8 Emergency, Diesel Generator System Follow-up Items",666,"When the EDG was next tested in July, it was discovered that the frequency for isochronous mode operation was less than the minimum required value (58.9 Hz vs. 59.5 Hz). ...The cause of the event was concluded to be a human error in failing to specify adequate post-maintenance testing activities following the June governor tuning. Maintenance procedures were revised, and the involved individuals were coached and provided additional training on EDG governor systems.",Personal Accountability;,,
Volume II 3.11 Meteorological Information and Dose Assessment System,671,"The only significant issue that continued to occur on the system was a phenomenon referred to as ""port exhaustion"" which infrequently occurs on Windows-based servers. ...This issue could render a server unable to communicate for a short time period and requires a restart of the server to correct the problem.
",Problem Identification and Resolution;,,
Volume II 3.11 Meteorological Information and Dose Assessment System,671,"Mr. Warwick stated that the key issue was that dose assessment personnel using MIDAS failed to recognize that plant conditions required a manual input of Steam Generator level into the software and users were not familiar with using the advanced features available in the software to do so. As a result, an inaccurate dose assessment was generated and provided to the Emergency Director.","Personal Accountability;
Continuous Learning;",,
Volume II 3.6 Refueling Equipment Health,681,"In the recent 2R22 Refueling Outage refueling operations went smoothly, except for the failure of a fuel manipulation crane swivel spring, which was resolved with a simple spring replacement.",Problem Identification and Resolution;,,
Volume II 3.7 Fire Doors and Door Life Management,683,"In 2022 there are five impaired doors, which will be repaired or replaced soon.",Problem Identification and Resolution;,,
Volume II 3.12 Feedwater Heater Tube Failure Root Cause Evaluation,690,"During startup from Outage 2R22 on October 15, 2021, FWH 2-5B was exhibiting indications of tube leakage. Power in Unit 2 was lowered to 90% to isolate the FWH to perform inspection and repair. The reactor was then shut down because of high FWH level. ...A borescope examination showed a tube failure and other tube damage. Eddy Current Testing (ECT) showed the extent of condition, which was repaired. The unit was returned to power but shut down again due to additional tube leak indications. Further 100% ECT indicated additional repairs were needed, which were performed, and the unit was brought back up to power with extended FWH monitoring.",Problem Identification and Resolution;,,
Volume II 3.1 Refueling Outage 1R23 Safety Plan,697,RCS Inventory Control – One Yellow condition was planned to occur when only one Safety Injection (SI) Pump would be operable with fuel in the core. (All three Centrifugal Charging Pumps out of service for testing and one SI pump out of service due to a planned maintenance outage of the 'F' Vital Electrical Bus.),Problem Identification and Resolution;,,
Volume II 3.1 Refueling Outage 1R23 Safety Plan,697,Reactivity Control – One Yellow condition was planned to occur for the same reason and coincident with the above Yellow condition for RCS Inventory Control. ,Problem Identification and Resolution;,,
Volume II 3.1 Refueling Outage 1R23 Safety Plan,698,Support Systems (Heat Sink) – Two Yellow conditions were planned to occur when one of two Auxiliary Saltwater System/Component Cooling Water System (CCW) trains would be out of service during lowered RCS inventory.,Problem Identification and Resolution;,,
Volume II 3.1 Refueling Outage 1R23 Safety Plan,698,"Vital AC Power – Two Yellow conditions were planned to occur due to a single offsite power source available. The first would occur when the plant was at lowered inventory while the Main Bank power supply was being removed from service at the start of the outage, and the second would occur when the Start-up Bank power supply was removed from service during lowered inventory late in the outage.",Problem Identification and Resolution;,,
Volume II 3.5 Emergency Preparedness Program,704,"Mr. Warwick reported that in both the third and fourth quarters of 2021, there was one failure of an ERO team member to respond to a drill callout. An analysis of trends showed that there had been an increase in such failures over the last two years, and an action plan was developed and implemented to address the issue.",Personal Accountability;,,
Volume II 3.6 Strategic Engineering Department Update,706,"Mr. Frantz reported that for Tier 1 systems overall, there were three systems with ""Red"" (Unhealthy) ratings – both units' Emergency Diesel Generators and the Unit 2 Condensate System. There was one Tier 1 system rated as ""Yellow"" (Needing Improvement) – the Unit 2 Stator Closed Cooling Water System. He also reported that there were five Tier 2 systems with open System Health Action Plans – Unit 1 Containment Ventilation, Units 1 and 2 non-safety related Radiation Monitoring, and Units 1 and 2 offsite power supplies.",Problem Identification and Resolution;,,
Volume II 3.7 Inadvertent Boric Acid Addition Event,707,"Subsequent analysis of the data concluded that approximately five gallons of boric acid were inadvertently added to the RCS which resulted in a 0.12% decrease in Unit 2 Reactor power level. All other Reactor parameters remained within normal control bands, and a dilution was later performed to return Reactor power to the desired level. The direct cause of the event was the fact that the two valves being tested were in series, and the failure to properly complete the first test procedure while executing the second test procedure inadvertently placed the plant in a configuration in which both valves were simultaneously open. The event was reviewed under DCPP's Reactivity Management Program and classified as a ""Level 4"" event based on an inadvertent power change of less than 1% with the Reactor at greater than 5% power.",Work Processes;,,
Volume II 3.8 Integrated Risk Management,708,"Establish a process for the station to assess operational evolutions for their potential impact
on enterprise risk.",Leadership Safety Values and Actions;,,
Volume II 3.8 Integrated Risk Management,708,Review the process for identifying and managing risk-significant components in the enterprise data management system (SAP).,Leadership Safety Values and Actions;,,
Volume II 3.8 Integrated Risk Management,708,Evaluate the need to include a representative from the Probabilistic Risk Assessment group into reviews for Emerging Issues at the station.,Leadership Safety Values and Actions;,,
Volume II 3.8 Integrated Risk Management,708,Evaluate the need for a Risk Management Team member to attend Risk Challenge Boards during maintenance planning.,Leadership Safety Values and Actions;,,
Volume II 3.8 Integrated Risk Management,708,Improve attention on non-safety related but risk-significant component issues being processed in the Corrective Action System.,Leadership Safety Values and Actions;,,
Volume II 3.13 Quality Verification,713,"Four deficiencies and four recommendations were entered into the CAP, with most being identified in the area of performance of and documentation for Quality Control Inspections. ",Problem Identification and Resolution;,,
Volume II 3.13 Quality Verification,714,"The FFT inquired if QV had seen any impacts to performance from turnover or staffing issues at the station, and Mr. Gibbons replied that the Department was monitoring the effects of turnover but had not seen any impacts to date. He did note that one particular area of concern was the increased difficulty being encountered by Maintenance to obtain the services of contract workers.",Leadership Safety Values and Actions;,,
Volume II Section 3.13 Direct Current Power Systems,715,"The only minor issue, which affected only the Non-vital Batteries on both units, was the presence of some hairline cracks on the lids caused by expansion of the internal plates.",Problem Identification and Resolution;,,
Volume II 3.9 Configuration Management Program,735,"Ambiguities still exist between licensing and design basis documents, for which Corrective Action Program Notification 51144920 was written.",Leadership Safety Values and Actions;,,
Volume II 3.3 Containment Structure Inspections,750,"For Unit 1, 28 indications were judged to exceed the second-tier criteria, of which 26 had been identified and reviewed during previous inspections. The two newly identified indications were entered into the Corrective Action System for further evaluation, and Mr. Swanson provided copies of the Notifications to the FFT (SAPNs 51153639 and 51153681).",Problem Identification and Resolution;,,
Volume II 3.7 Radiation Protection Department Performance During Refueling Outage 1R23,755,"The data showed that 39 radiation workers incurred exposures greater than 100 millirem, 7 radiation workers incurred exposures greater than 200 millirem, and the highest exposure incurred by a single radiation worker was 379 millirem.","Effective Safety Communication;
Personal Accountability;",,
Volume II 3.11 Refueling Outage 1R23 Result,760,Mr. Quitter explained that the biggest challenge during the outage occurred in the area of industrial safety with the occurrence of one recordable injury in the Radiation Protection Department (see Section 3.7 above).,"Effective Safety Communication;
Personal Accountability;",,
Volume II 3.11 Refueling Outage 1R23 Result,760,"The last two goals were not achieved due to the occurrence of a secondary side problem shortly after plant startup and synchronization of the Main Generator (which defines the end of the Refueling Outage). The secondary side problem involved the failure of a pressure control valve and the subsequent lifting of a relief valve on the Steam Generator Blowdown Flash Tank. The problem required taking the Main Generator back offline in order to isolate steam and cool down secondary side systems to facilitate repairs. During the repairs, the Reactor remained online at low power with heat being removed by Auxiliary Feedwater and steam venting to the atmosphere. This offline period was designated as Forced Outage 1X24 and lasted approximately one week. ",Problem Identification and Resolution;,,
"Volume II, Exhibit B.3, Minutes of the October
19-20, 2021 Public Meeting",248-249,When operators made a routine swap of an operating ASW pump a ground alarm was received on the bus for ASW Pump 1-1 shortly after starting but the pump did run. The other pump was kept running and the ASW Pump 1-1 was shut down and declared inoperable due to the ground. Maintenance replaced the pump motor and an emergency change to the Technical Specification was initiated to allow an increase in time to replace the motor from 72 hours to 144 hours because of physical constraints due to the pump's location within the Intake Structure. Upon examination it was found the pump motor was degraded and there was evidence of moisture and minneral depositst on the pump.,"Problem Identification and Resolution;
Decision-Making;",,"Consultant McWhorter reported the pump was known for some time to have been in a degraded condition but with the failure of the pump heater, which was determined to have failed about one week prior to the pump motor failure, the conditions and the absence of the heater allowed moisture buildup to increase."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,"Personal Accountability;
Questioning Attitude;",,
